#logMsmin    logMsmax    logSFRmin    logSFRmax    Prob
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.5  8.75  -3.3181818181818183  -2.9545454545454546  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0006298327147625281
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.00225432839672398
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.02495416680917848
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.02034456993826527
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
8.75  9.0  -2.9545454545454546  -2.590909090909091  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.005234702364417037
9.0  9.25  -2.590909090909091  -2.227272727272727  0.033820765459473386
9.0  9.25  -2.590909090909091  -2.227272727272727  0.007311064784342776
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.0  9.25  -2.590909090909091  -2.227272727272727  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.01808523624844384
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.05772437686186476
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.00770342414881515
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.25  9.5  -2.227272727272727  -1.8636363636363633  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.008064083323670337
9.5  9.75  -1.8636363636363633  -1.5  0.035738348859474446
9.5  9.75  -1.8636363636363633  -1.5  0.02744374398148264
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.5  9.75  -1.8636363636363633  -1.5  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0033771824815853877
9.75  10.0  -1.5  -1.1363636363636367  0.01599997552967819
9.75  10.0  -1.5  -1.1363636363636367  0.07653315603472895
9.75  10.0  -1.5  -1.1363636363636367  0.01308661687512322
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
9.75  10.0  -1.5  -1.1363636363636367  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.025113780044619404
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0444027892830001
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.07367374331689096
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.0  10.25  -1.1363636363636367  -0.7727272727272725  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
10.25  10.5  -0.7727272727272725  -0.40909090909090917  0.0
